gene,compound,compound_code,cui,relationship,source,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status
NR1H3 gene,"3-(dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine",667468,C0013085,negatively_correlated_with_chemical_or_drug,CMAP,3158.0,,C19H21NO,279.4,"3-(6H-benzo[c][1]benzoxepin-11-ylidene)-N,N-dimethylpropan-1-amine",found
NR1H3 gene,"3-(dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine",667468,C0013085,inverse_negatively_correlated_with_chemical_or_drug,CMAP,3158.0,,C19H21NO,279.4,"3-(6H-benzo[c][1]benzoxepin-11-ylidene)-N,N-dimethylpropan-1-amine",found
NR1H3 gene,4-Amino-1-(5-hydroxymethyl-tetrahydro-furan-2-yl)-1H-pyrimidin-2-one,24066,C0012132,negatively_correlated_with_chemical_or_drug,CMAP,24066.0,,C9H13N3O3,211.22,"4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",found
NR1H3 gene,4-Amino-1-(5-hydroxymethyl-tetrahydro-furan-2-yl)-1H-pyrimidin-2-one,24066,C0012132,inverse_negatively_correlated_with_chemical_or_drug,CMAP,24066.0,,C9H13N3O3,211.22,"4-amino-1-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",found
NR1H3 gene,4-Amino-N-(2-diethylamino-ethyl)-benzamide,4913,C0033216,negatively_correlated_with_chemical_or_drug,CMAP,4913.0,,C13H21N3O,235.33,4-amino-N-[2-(diethylamino)ethyl]benzamide,found
NR1H3 gene,4-Amino-N-(2-diethylamino-ethyl)-benzamide,4913,C0033216,inverse_negatively_correlated_with_chemical_or_drug,CMAP,4913.0,,C13H21N3O,235.33,4-amino-N-[2-(diethylamino)ethyl]benzamide,found
NR1H3 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993,C0034283,negatively_correlated_with_chemical_or_drug,CMAP,4993.0,,C12H13ClN4,248.71,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",found
NR1H3 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993,C0034283,inverse_negatively_correlated_with_chemical_or_drug,CMAP,4993.0,,C12H13ClN4,248.71,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",found
NR1H3 gene,Acetohexamide,1989,C0000992,negatively_correlated_with_chemical_or_drug,CMAP,1989.0,,C15H20N2O4S,324.4,1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea,found
NR1H3 gene,Acetohexamide,1989,C0000992,inverse_negatively_correlated_with_chemical_or_drug,CMAP,1989.0,,C15H20N2O4S,324.4,1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea,found
