gene,compound,compound_code,cui,relationship,source,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status,CID,MolecularWeight,SMILES,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,property_status
NR1H2 gene,Naltrexone,5360515,C0027360,negatively_correlated_with_chemical_or_drug,CMAP,5360515.0,,C20H23NO4,341.4,"(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",found,5360515.0,341.4,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1.9,70.0,2.0,5.0,2.0,found
NR1H2 gene,Naltrexone,5360515,C0027360,inverse_negatively_correlated_with_chemical_or_drug,CMAP,5360515.0,,C20H23NO4,341.4,"(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",found,5360515.0,341.4,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1.9,70.0,2.0,5.0,2.0,found
NR1H2 gene,Naproxen,156391,C0027396,negatively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found,156391.0,230.26,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3,46.5,1.0,3.0,3.0,found
NR1H2 gene,Naproxen,156391,C0027396,positively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found,156391.0,230.26,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3,46.5,1.0,3.0,3.0,found
NR1H2 gene,Naproxen,156391,C0027396,inverse_positively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found,156391.0,230.26,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3,46.5,1.0,3.0,3.0,found
NR1H2 gene,Naproxen,156391,C0027396,inverse_negatively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found,156391.0,230.26,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,3.3,46.5,1.0,3.0,3.0,found
NR1H2 gene,Primaquine,4908,C0033126,negatively_correlated_with_chemical_or_drug,CMAP,4908.0,,C15H21N3O,259.35,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",found,4908.0,259.35,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,2.2,60.2,2.0,4.0,6.0,found
NR1H2 gene,Primaquine,4908,C0033126,inverse_negatively_correlated_with_chemical_or_drug,CMAP,4908.0,,C15H21N3O,259.35,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",found,4908.0,259.35,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,2.2,60.2,2.0,4.0,6.0,found
NR1H2 gene,SA-1459261,54657706,PUBCHEM:54657706 CUI,positively_regulates,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SA-1459261,54657706,PUBCHEM:54657706 CUI,positively_regulated_by,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SA-1919584,54666568,PUBCHEM:54666568 CUI,negatively_regulates,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SA-1919584,54666568,PUBCHEM:54666568 CUI,negatively_regulated_by,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111390,3883,C0050940,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111390,3883,C0050940,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111646,4748,C0031184,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111646,4748,C0031184,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111775,5335,C0038706,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11111775,5335,C0038706,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11113344,5344,C0038745,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11113344,5344,C0038745,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11113732,3955,C0023992,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,SID11113732,3955,C0023992,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,ST-4070043,3917094,PUBCHEM:3917094 CUI,positively_regulates,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,ST-4070043,3917094,PUBCHEM:3917094 CUI,positively_regulated_by,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone",4893,C0032912,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone",4893,C0032912,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found,,,,,,,,,
NR1H2 gene,[<sup>3</sup>H]tiotropium,5487427,PUBCHEM:5487427 CUI,positively_regulates,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,[<sup>3</sup>H]tiotropium,5487427,PUBCHEM:5487427 CUI,positively_regulated_by,LINCS,,,,,,CID not found,,,,,,,,,
NR1H2 gene,acebutolol,1978,C0000946,negatively_correlated_with_chemical_or_drug,CMAP,1978.0,,C18H28N2O4,336.4,N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide,found,1978.0,336.4,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1.7,87.7,3.0,5.0,10.0,found
NR1H2 gene,acebutolol,1978,C0000946,inverse_negatively_correlated_with_chemical_or_drug,CMAP,1978.0,,C18H28N2O4,336.4,N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide,found,1978.0,336.4,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,1.7,87.7,3.0,5.0,10.0,found
NR1H2 gene,amitriptyline,2160,C0002600,negatively_correlated_with_chemical_or_drug,CMAP,2160.0,,C20H23N,277.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",found,2160.0,277.4,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,5.0,3.2,0.0,1.0,3.0,found
NR1H2 gene,amitriptyline,2160,C0002600,inverse_negatively_correlated_with_chemical_or_drug,CMAP,2160.0,,C20H23N,277.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",found,2160.0,277.4,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,5.0,3.2,0.0,1.0,3.0,found
NR1H2 gene,benactyzine,9330,PUBCHEM:9330 CUI,positively_regulates,LINCS,9330.0,,C20H25NO3,327.4,"2-(diethylamino)ethyl 2-hydroxy-2,2-diphenylacetate",found,9330.0,327.4,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,2.6,49.8,1.0,4.0,9.0,found
