gene,compound,pubchem_cid,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,SMILES,rough_ro5_pass,rough_bbb_candidate,inchikey,dc_status,dc_struct_id,dc_name,atc_code,is_approved_drug
NR1H2 gene,Decitabine,451668.0,228.21,-1.2,121.0,3.0,4.0,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,True,False,XAUDJQYHKZQPEU-KVQBGUIXSA-N,found,790.0,decitabine,L01BC08,True
NR1H3 gene,Acyclovir,135398513.0,225.2,-1.9,115.0,3.0,5.0,C1=NC2=C(N1COCCO)N=C(NC2=O)N,True,False,MKUXAQIIEYXACX-UHFFFAOYSA-N,found,85.0,acyclovir,D06BB03,True
NR1H3 gene,Decitabine,451668.0,228.21,-1.2,121.0,3.0,4.0,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,True,False,XAUDJQYHKZQPEU-KVQBGUIXSA-N,found,790.0,decitabine,L01BC08,True
NR1H3 gene,Meropenem,441130.0,383.5,-2.4,135.0,3.0,7.0,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@H]3C[C@H](NC3)C(=O)N(C)C)C(=O)O)[C@@H](C)O,True,False,DMJNNHOOLUXYBV-PQTSNVLCSA-N,found,1709.0,meropenem,J01DH02,True
NR1H3 gene,Methotrexate,126941.0,454.4,-1.8,211.0,5.0,12.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,True,False,FBOZXECLQNJBKD-ZDUSSCGKSA-N,found,1751.0,methotrexate,L01BA01,True
NR1H3 gene,Piperacillin,43672.0,517.6,0.5,182.0,3.0,8.0,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,True,False,IVBHGBMCVLDMKU-GXNBUGAJSA-N,found,2187.0,piperacillin,J01CA12,True
NR1H3 gene,Reserpine,5770.0,608.7,4.0,118.0,1.0,10.0,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,True,False,QEVHRUUCFGRFIF-MDEJGZGSSA-N,found,2370.0,reserpine,C02AA02,True
NR1H3 gene,Sulfacetamide,5320.0,214.24,-1.0,97.6,2.0,4.0,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,True,False,SKIVFJLNDNKQPD-UHFFFAOYSA-N,found,2497.0,sulfacetamide,D10AF06,True
NR1H3 gene,Sulfamerazine,5325.0,264.31,0.1,106.0,2.0,6.0,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,True,False,QPPBRPIAZZHUNT-UHFFFAOYSA-N,found,2510.0,sulfamerazine,D06BA06,True
NR1H3 gene,terbutaline,5403.0,225.28,0.9,72.7,4.0,4.0,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,True,False,XWTYSIMOBUGWOL-UHFFFAOYSA-N,found,2598.0,terbutaline,R03AC03,True
TYROBP gene,Altizide,2122.0,383.9,0.8,160.0,3.0,8.0,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,True,False,VGLGVJVUHYTIIU-UHFFFAOYSA-N,found,140.0,altizide,C03EA04,True
TYROBP gene,CGP-54626,197583.0,444.8,,69.6,4.0,4.0,C[C@@H](C1=CC(=C(C=C1)Cl)Cl)NC[C@@H](CP(=O)(CC2CCCCC2)O)O.Cl,True,False,ZQCFHOVIXCJPLE-LINSIKMZSA-N,not_in_drugcentral,,,,
TYROBP gene,clonixin-lysinate,3080836.0,408.9,,152.0,5.0,8.0,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O.C(CCN)C[C@@H](C(=O)O)N,True,False,CVNFYQCHAWFYQI-ZSCHJXSPSA-N,not_in_drugcentral,,,,
