id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
5385,"TYRO protein tyrosine kinase-binding protein",TYROBP,"Enzyme",,Tbio,O43914,,0.00410031,2.4060681
6142,"3-hydroxyacyl-CoA dehydrogenase type-2",HSD17B10,"Enzyme","short-chain_dehydrogenase/reductase",Tchem,Q99714,DTO_05006278,0.00486582,2.40080111
4928,"Saitohin",STH,,,Tbio,Q8IWL8,,0.00564817,2.07711151
2925,"CD2-associated protein",CD2AP,,,Tbio,Q9Y5K6,,0.00603034,1.77617022
13308,"Bleomycin hydrolase",BLMH,"Enzyme","peptidase",Tbio,Q13867,DTO_05004265,0.00855614,1.72773999
16246,"Charged multivesicular body protein 2b",CHMP2B,,,Tbio,Q9UQN3,,0.01116381,1.26860898
134,"Calsenilin",KCNIP3,"IC","IC",Tbio,Q9Y2W7,DTO_01100092,0.01371555,1.07116024
286,"Complexin-1",CPLX1,,,Tbio,O14810,,0.01434543,0.81759176
3873,"Tyrosine-protein phosphatase non-receptor type 5",PTPN5,"Enzyme","phosphatase",Tchem,P54829,,0.01499841,0.76093496
20119,"Sodium-dependent lysophosphatidylcholine symporter 1",MFSD2A,,,Tbio,Q8NA29,DTO_05000536,0.01709114,0.7282655
965,"ADP-ribosylation factor-binding protein GGA3",GGA3,,,Tbio,Q9NZ52,,0.01898553,0.65230305
12637,"Membrane metallo-endopeptidase-like 1",MMEL1,"Enzyme","peptidase",Tchem,Q495T6,DTO_05004361,0.02700936,0.60601847
18862,"Neuronal pentraxin-1",NPTX1,,,Tbio,Q15818,,0.02872516,0.53781759
13457,"Calmodulin-like protein 5",CALML5,,,Tbio,Q9NZT1,DTO_05003769,0.03240679,0.5228691
13797,"BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2",TNFAIP1,,,Tbio,Q13829,,0.04006419,0.35457594
6667,"Homer protein homolog 3",HOMER3,,,Tbio,Q9NSC5,,0.04408998,0.34597599
18668,"N-fatty-acyl-amino acid synthase/hydrolase PM20D1",PM20D1,"Enzyme","peptidase",Tdark,Q6GTS8,,0.07205788,0.33107599
234,"Cortexin-3",CTXN3,,,Tbio,Q4LDR2,,0.10303512,0.28734542
14247,"Zinc finger CW-type PWWP domain protein 1",ZCWPW1,"Epigenetic",,Tbio,Q9H0M4,,0.11264543,0.24911626
5605,"Inositol hexakisphosphate kinase 3",IP6K3,"Kinase","Kinase",Tbio,Q96PC2,DTO_03100593,0.13072912,0.19624622
5387,"tRNA wybutosine-synthesizing protein 5",TYW5,,,Tbio,A2RUC4,,0.1382439,0.09090909
16933,"Amyloid protein-binding protein 2",APPBP2,,,Tbio,Q92624,,0.14742368,0.08978849
2494,"Cyclin-dependent kinase 5 activator 2",CDK5R2,"Enzyme",,Tbio,Q13319,DTO_05003151,0.16247335,0.08719941
16672,"Transmembrane and coiled-coil domains protein 2",TMCC2,,,Tdark,O75069,,0.21581357,0.08638262
12464,"Low-density lipoprotein receptor-related protein 11",LRP11,,,Tdark,Q86VZ4,,0.22784094,0.07581788
13459,"Calpain-12",CAPN12,,,Tdark,Q6ZSI9,DTO_05005905,0.23581846,0.05325339
1157,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",ECHDC3,"Enzyme",,Tdark,Q96DC8,,0.28181422,0.05158339
7096,"Uncharacterized protein KIAA0513",KIAA0513,,,Tdark,O60268,,0.41452062,0.03785221
7523,"Tetraspanin-17",TSPAN17,,,Tdark,Q96FV3,,0.51639684,0.02957494
5875,"Protein FRG2-like-1",FRG2B,,,Tdark,Q96QU4,,0.5552602,0.02941176
17958,"GRAM domain-containing protein 2B",GRAMD2B,,,Tdark,Q96HH9,,0.55744753,0.02239859
4241,"Probable UDP-sugar transporter protein SLC35A4",SLC35A4,"Transporter","SLC35A_transporter",Tdark,Q96G79,DTO_05000430,0.6182609,0.02219388
655,"Exocyst complex component 3-like protein",EXOC3L1,,,Tdark,Q86VI1,DTO_05002681,0.90137669,0.01827071
14753,"Zinc finger protein 626",ZNF626,"TF","TF",Tdark,Q68DY1,,0.97402393,0.01818182
14821,"Zinc finger protein 256",ZNF256,"TF","TF",Tdark,Q9Y2P7,,1.08218411,0.01077908
7458,"Zinc finger protein 599",ZNF599,"TF","TF",Tdark,Q96NL3,DTO_05001474,1.49090633,0.01010101
8269,"Secernin-2",SCRN2,"Enzyme","peptidase",Tdark,Q96FV2,,1.63547022,0.00925926
